,name,address,price,rating,amenities
59,Townhouse Oak Classic Grande,"Camp, Pune",₹2551,(1492 Ratings),"Reception, Free Wifi, Power backup"
60,OYO Home 78000 Exotic Stay Baner,"Balewadi, Pune",₹1500,(420 Ratings),"Private Entrance, Parking Facility, Elevator"
61,OYO 28674 Orchid Platinum Guest House,"Near ICICI, Bopodi, Pune",₹1216,(847 Ratings),"Parking Facility, Reception, Power backup"
62,Capital O 22124 Hotel Lotus Residency,"Near Ashiyana Park, Aundh, Pune",₹1994,(428 Ratings),"Reception, Garden/Backyard, Power backup"
63,OYO 704 Apartment Kharadi,"Near Zensar, Rakshak Nagar, Pune",₹1014,(929 Ratings),"Elevator, Free Wifi, Geyser"
64,OYO Home 80047 Vardhan House 2,"Baner road, Pune",₹1253,(29 Ratings),"Parking Facility, Private Entrance, Free Wifi"
65,OYO 70715 Sunshine Inn,"Near Datta Mandir, Somwar Peth, Pune",₹1337,(824 Ratings),"Private Entrance, Parking Facility, Reception"
66,OYO 14929 River View,"On main street, Near Deccan Gymkhana, Deccan, Pune",₹1911,(592 Ratings),AC
67,OYO 67260 Hotel Dream Sky,"Near zensar IT park, Rakshak Nagar, Pune",₹1511,(134 Ratings),"Private Entrance, Parking Facility, Reception"
68,OYO 3847 EMA Hospitality,"Near Oracle Financial Service Ltd, Bavdhan, Pune",₹1523,(43 Ratings),"Parking Facility, Free Wifi, Power backup"
69,OYO 28092 RVC Hospitality,"Near Bus Stand, Phoenix Marketcity, Somnath Nagar Road, Viman Nagar",₹1251,(1162 Ratings),"Private Entrance, Reception, Power backup"
70,SPOT ON 77742 Royal Rest Rooms,"India, Pune",₹845,,"TV, Doctor on Call, Reception"
71,Capital O 70524 Hotel Shreeyash Executive,"Near MIDAS India, Kondhwa Budruk, Pune",₹1734,(156 Ratings),"Private Entrance, Parking Facility, Reception"
72,OYO Flagship 75883 Chandan Nagar,"Near Phoenix Market city, Tata Nagar, Pune",₹1014,(1234 Ratings),"Parking Facility, Reception, Free Wifi"
73,OYO Flagship 80322  I- Siri,"bombay pune highway Pune City, Pune",₹1320,(8 Ratings),"Private Entrance, Parking Facility, Reception"
74,OYO 79337 Flagship Tofiel Studios,"Kondhwa, Pune",₹1014,(284 Ratings),"Parking Facility, Private Entrance, Reception"
75,OYO 46538 Hotel Gokul Lodge,"On main street, Near New Golden Bakery, Wadgaon Bridge, Pune",₹1525,,"Private Entrance, Free Wifi, Power backup"
76,CAPITAL O76174 Kuber Inn,"Viman Nagar, Nagar Road, Near VTP House, Pune- 411014",₹2052,(237 Ratings),"Parking Facility, Reception, Free Wifi"
77,OYO Townhouse 063 M G Road,"Near SGS Mall, Gawaliwada, Pune",₹2375,(1339 Ratings),"Parking Facility, Reception, Free Wifi"
78,Capital O 22996 DDPK,"Kapil Nagar, Wadgaon Sheri, Opposite Hotel Novotel, Ramwadi, Pune",₹1582,(76 Ratings),"Parking Facility, Reception, Free Wifi"
79,Capital O  22428 Hotel Dreams,"Near South Indian Bank, Hadapsar, Pune",₹1942,(39 Ratings),"Parking Facility, Free Wifi, Power backup"
80,OYO  Collection O 81324 Club 24,"Pune, Pune",₹1386,,"Parking Facility, Elevator, Free Wifi"
81,OYO Flagship 79527 Kohinoor Studios,"Koregaon Park Pune- 411001, Pune",₹1014,,AC
82,OYO 81205 Hotel Manikyaa,"India, Pune",₹1336,,"Hair Dryer, Parking Facility, Reception"
83,OYO Collection O 80421 Hotel Pearl,"J.M road, Pune",₹1289,(42 Ratings),"AC, TV"
84,OYO 70264 Hotel Vrindavan,"Near Narhe Ambegaon Road, Narhe, Pune",₹2282,,"Parking Facility, Reception, Free Wifi"
85,OYO 47178 Pakko Inn ,"On main street, Near Yerwada Village, Nawanagar, Pune",₹1166,(103 Ratings),"Hair Dryer, Private Entrance, Reception"
86,Capital O 64931 Hotel Galaxy,"Near Mumbai Pune Bypass Road, Ambegaon Bk, Pune",₹1252,(89 Ratings),"Private Entrance, Parking Facility, Reception"
87,Capital O 81269 Finesse Hotel,"India, Pune",₹2173,,"Parking Facility, Reception, Ticket Tour Assistance"
88,Capital O 62160 Ms Hospitality ,"Near The K Factory, Baner Road, Pune",₹1571,(260 Ratings),"Private Entrance, Parking Facility, Reception"
89,Capital O 64188 Pratikruti Resort,"Near Ambegaon Khurd Waghjainagar, Pune",₹1346,(1 Ratings),"Private Entrance, Parking Facility, Reception"
90,OYO Home 77978 Peaceful Stay Keshav Nagar,"Mundhwa, Pune",₹979,(781 Ratings),"Parking Facility, Private Entrance, Elevator"
91,OYO Townhouse 059 Magarpatta,"Hadapsar, Pune",₹2360,(484 Ratings),"Parking Facility, Reception, Free Wifi"
92,OYO 63737 The Orchid S Guest House,"Near ICICI Bank ATM, Khadki, Pune",₹1013,,"Hair Dryer, AC, TV"
93,Capital O 74586 Lakme Executive,"Near Shabree Restaurant, Ghole Road, Pune",₹2833,(421 Ratings),AC
94,Silverkey Executive Stays 39640 Near Arup Hospital,"Near Tempo Chowk, Vadgaon Sheri, Pune",₹984,(3396 Ratings),"Reception, Free Wifi, Bedside Table / Desk"
95,OYO 17036 Rk's Regency,"Near Dhayari Phata, Wadgaon Budruk, Pune",₹1232,(843 Ratings),"Reception, Free Wifi, Power backup"
96,OYO 43652 Hotel Gokul Residency,"Near Phoenix Market City, Sopan Nagar , Pune",₹1511,,"Private Entrance, Hair Dryer, Reception"
97,SilverKey Executive Stays 77138 Shree Apartments,"Visharant Wadi, Pune",₹1397,(478 Ratings),"Parking Facility, Free Wifi, Power backup"
98,Capital O 45722 Mountain High Inn,"Near Krushna Nagar, Mohammad Wadi, Pune",₹1433,(654 Ratings),"Private Entrance, Reception, 24/7 Checkin"
99,OYO 18340 Grand Pune,"Near Swargate Bus stand, Swargate, Pune",₹1437,(235 Ratings),"Elevator, Free Wifi, Geyser"
